acquainted surroundings over both 0.0
after exploring both started 0.0
again again bigger triangle 0.0
again bigger triangle trying 0.0
again gets success pushing 0.0
again gone trying back 0.0
again inside gone outside 0.0
again inside small triangle 0.0
again interacting circling around 0.0
again trying corner smaller 0.0
agree trying push outside 0.0
ahead very reluctant moving 0.0
align themselves vertices semi 0.0
also outside vertices touched 0.0
another vertex again gone 0.0
area outside arena after 0.0
arena after exploring both 0.0
arena confined within space 0.0
arena smaller comes trying 0.0
around big triangle going 0.0
around bigger triangle goes 0.0
around here triangles small 0.0
around outside acquainted surroundings 0.0
around region bigger triangle 0.0
around structure bigger rectangle 0.0
around triangles both trying 0.0
around very slowly big 0.0
attached vertex red triangle 0.0
attached vertex rotating red 0.0
attaches another vertex again 0.0
back attaches another vertex 0.0
back comes back attaches 0.0
back pushing smaller pushed 0.0
basically both fighting big 0.0
basically small object tries 0.0
best smaller does agree 0.0
big box ring basically 0.0
big box sort ring 0.0
big object blocks small 0.0
big object moves small 0.0
big object small object 0.0
big object trying move 0.0
big playing arena confined 0.0
big triangle going outside 0.0
big triangle interacting small 0.0
big triangle trying pull 0.0
big triangle trying push 0.0
bigger both trying push 0.0
bigger comes trying smaller 0.0
bigger goes outside again 0.0
bigger gone outside inside 0.0
bigger rectangle larger rectangle 0.0
bigger rectangle smaller rectangle 0.0
bigger red color again 0.0
bigger red smaller blue 0.0
bigger triangle also outside 0.0
bigger triangle came inside 0.0
bigger triangle focing triangles 0.0
bigger triangle goes tries 0.0
bigger triangle gone outside 0.0
bigger triangle inner square 0.0
bigger triangle move box 0.0
bigger triangle moves box 0.0
bigger triangle outside box 0.0
bigger triangle pushing smaller 0.0
bigger triangle seems happy 0.0
bigger triangle seems pushed 0.0
bigger triangle seems pushing 0.0
bigger triangle still inside 0.0
blocks small object cannot 0.0
blue color seems red 0.0
blue object follows strategy 0.0
blue object moving outside 0.0
blue object trying taunt 0.0
blue object using virtue 0.0
blue red making smaller 0.0
blue smaller object both 0.0
blue triangle outside red 0.0
both attached vertex rotating 0.0
both fighting big object 0.0
both fighting box big 0.0
both fighting remain box 0.0
both fighting stay big 0.0
both outside box both 0.0
both playing inside box 0.0
both started playing outside 0.0124024526198
both triangle outside box 0.0
both triangles outside box 0.0
both triangles stay outside 0.0
