acquainted surroundings 0.0
after exploring 0.0407627073103
again again 0.0
again bigger 0.0
again gets 0.0
again gone 0.0
again interacting 0.0123896081027
again trying 0.0
agree trying 0.0
ahead very 0.0
align themselves 0.0
also outside 0.0176492759177
another vertex 0.0
area outside 0.00120624460614
arena after 0.0
arena confined 0.0
arena smaller 0.0
around big 0.0
around bigger 0.0
around here 0.0
around outside 0.0128952701939
around region 0.0
around structure 0.0
around triangles 0.0
around very 0.008532016263
attaches another 0.0
back attaches 0.0
back comes 0.0
back pushing 0.0
basically both 0.0
basically small 0.0
best smaller 0.0
big playing 0.0
bigger both 0.0
bigger comes 0.0
bigger goes 0.0
bigger gone 0.0
blocks small 0.0
blue color 0.0058914598285
blue red 0.0
blue smaller 0.0
blue triangle 0.0128952701939
both attached 0.0
both outside 0.0
both playing 0.0
both started 0.0407627073103
both triangle 0.0
both want 0.0134057195103
box basically 0.0
box blue 0.0
box open 0.0
box playing 0.0
box pushing 0.0
box red 0.0
box ring 0.019308003269
box roaming 0.0
box small 0.0
box triangles 0.0
box tries 0.0
box waiting 0.0
came inside 0.0
cannot enter 0.019308003269
chasing seem 0.0
circling around 0.00427722293263
closed box 0.0113931185749
color again 0.0
color seems 0.0
comes back 0.0
comes box 0.0
coming again 0.00718153091359
coming smaller 0.0
completely smaller 0.0
confined within 0.00631438441853
connected triangles 0.0
corner smaller 0.0
cut bigger 0.0
dances around 0.0
dancing chasing 0.0
does agree 0.0
does work 0.0
doing specific 0.0
door blue 0.0
door both 0.0
drag push 0.0
easily smaller 0.0
enclosed side 0.0
enjoying triangles 0.0
enter big 0.0
even letting 0.0
explore area 0.0
exploring bigger 0.0
exploring both 0.0
fighting big 0.0
fighting box 0.0
fighting remain 0.0
fighting stay 0.0
finally trying 0.0
focing triangles 0.0
follows comes 0.0
follows strategy 0.0
force smaller 0.0
forcefully bigger 0.0
funny ways 0.00547598303284
game here 0.0
game playing 0.0
gets success 0.0262613569407
goes outside 0.00993740769414
goes tries 0.0
going outside 0.00807550322817
gone trying 0.0
happy connected 0.0
here bigger 0.0
here both 0.0
here inner 0.0
