acquainted surroundings over 0.0
after exploring both 0.0
again again bigger 0.0
again bigger triangle 0.0
again gets success 0.0
again gone trying 0.0
again inside gone 0.0
again inside small 0.0
again interacting circling 0.0
again trying corner 0.0
agree trying push 0.0
ahead very reluctant 0.0
align themselves vertices 0.0
also outside vertices 0.0
another vertex again 0.0
area outside arena 0.0
arena after exploring 0.0
arena confined within 0.0
arena smaller comes 0.0
around big triangle 0.0
around bigger triangle 0.0
around here triangles 0.0
around outside acquainted 0.0
around region bigger 0.0
around structure bigger 0.0
around triangles both 0.0
around very slowly 0.0
attached vertex red 0.0
attached vertex rotating 0.0
attaches another vertex 0.0
back attaches another 0.0
back comes back 0.0
back pushing smaller 0.0
basically both fighting 0.0
basically small object 0.0
best smaller does 0.0
big box ring 1.0
big box sort 0.0
big object blocks 0.0
big object moves 0.0
big object small 0.0
big object trying 0.0
big playing arena 0.0
big triangle going 0.0
big triangle interacting 0.0
bigger both trying 0.0
bigger comes trying 0.0
bigger goes outside 0.0
bigger gone outside 0.0
bigger rectangle larger 0.0
bigger rectangle smaller 0.0
bigger red color 0.0
bigger red smaller 0.0
bigger triangle also 0.0
bigger triangle came 0.0
bigger triangle focing 0.0
bigger triangle goes 0.0
bigger triangle gone 0.0
bigger triangle inner 0.0
bigger triangle move 0.0
bigger triangle moves 0.0
bigger triangle outside 0.0
bigger triangle pushing 0.0
bigger triangle still 0.0
blocks small object 0.0
blue color seems 0.0
blue object follows 0.0
blue object moving 0.0
blue object trying 0.0
blue object using 0.0
blue red making 0.0
blue smaller object 0.0
blue triangle outside 0.0
both attached vertex 0.0
both fighting big 0.0
both fighting box 0.0
both fighting remain 0.0
both fighting stay 0.0
both outside box 0.0
both playing inside 0.0
both started playing 0.0
both triangle outside 0.0
both triangles outside 0.0
both triangles stay 0.0
both trying align 0.0
both trying push 0.0
both want remain 0.0
box basically both 0.0
box big object 0.0
box big triangle 0.0
box blue object 0.0
box both fighting 0.0
box both triangles 0.0
box both want 0.0
box open box 0.0
box playing around 0.0
box pushing smaller 0.0
box red object 0.0
box ring basically 1.0
box roaming small 0.0
box small slightly 0.0
box sort ring 0.0
box sort waiting 0.0
box tips force 0.0
box tips touching 0.0
box triangles touching 0.0
box tries push 0.0
box waiting ahead 0.0
came inside smaller 0.0
cannot enter big 0.0
chasing seem rotating 0.0
circling around structure 0.0
closed box bigger 0.0
color again inside 0.0
color seems red 0.0
comes back attaches 0.0
comes box basically 0.0
comes trying explore 0.0
comes trying smaller 0.0
coming again again 0.0
coming smaller triangle 0.0
completely smaller roaming 0.0
confined within space 0.0
connected triangles squares 0.0
corner smaller doing 0.0
cut bigger triangle 0.0
dances around here 0.0
dancing chasing seem 0.0
does agree trying 0.0
does work tries 0.0
doing specific things 0.0
door blue triangle 0.0
door both attached 0.0
drag push blue 0.0
easily smaller roaming 0.0
enclosed side rectangle 0.0
enjoying triangles over 0.0
enter big box 0.0
even letting bigger 0.0
explore area outside 0.0
exploring bigger rectangle 0.0
exploring both started 0.0
fighting big object 0.0
fighting box big 0.0
fighting remain box 0.0
fighting stay big 0.0
finally trying best 0.0
focing triangles inside 0.0
follows comes box 0.0
follows strategy does 0.0
force smaller easily 0.0
forcefully bigger triangle 0.0
funny ways seem 0.0
game here bigger 0.0
game playing big 0.0
gets success pushing 0.0
goes outside again 0.0
goes tries pull 0.0
going outside box 0.0
gone outside completely 0.0
gone outside inside 0.0
gone outside trying 0.0
gone trying back 0.0
happy connected triangles 0.0
here bigger triangle 0.0
here both playing 0.0
here inner square 0.0
here triangles small 0.0
inner square coming 0.0
inner square cut 0.0
inner square outer 0.0
inner square pushed 0.0
inside again trying 0.0
inside attached vertex 0.0
inside bigger triangle 0.0
inside box both 0.0
inside box roaming 0.0
inside box triangles 0.0
inside box tries 0.0
inside gone outside 0.0
inside small triangle 0.0
inside smaller triangle 0.0
interacting circling around 0.0
interacting small triangle 0.0
larger rectangle dances 0.0
letting bigger triangle 0.0
little triangles right 0.0
making smaller move 0.0
move big triangle 0.0
move box bigger 0.0
move drag push 0.0
move reason exploring 0.0
move small object 0.0
move specific ways 0.0
moves box sort 0.0
moves small object 0.0
moving around big 0.0
moving around very 0.0
moving outside box 0.0
moving very forcefully 0.0
object blocks small 0.0
object blue smaller 0.0
object both outside 0.0
object cannot enter 0.0
object follows comes 0.0
object follows strategy 0.0
object moves small 0.0
object moving outside 0.0
object small object 0.0
object tries both 0.0
object tries turn 0.0
object trying move 0.0
object trying taunt 0.0
object using virtue 0.0
object win big 0.0
open box tips 0.0
opening triangles seem 0.0
outer square side 0.0
outside acquainted surroundings 0.0
outside again gets 0.0
outside again interacting 0.0
outside arena after 0.0
outside arena smaller 0.0
outside bigger goes 0.0
outside bigger red 0.0
outside bigger triangle 0.0
outside both triangle 0.0
outside box big 0.0
outside box blue 0.0
outside box both 0.0
outside box playing 0.0
outside box pushing 0.0
outside box tips 0.0
outside completely smaller 0.0
outside door both 0.0
outside enjoying triangles 0.0
outside inside again 0.0
outside moving around 0.0
outside rectangle little 0.0
outside red triangle 0.0
outside small triangle 0.0
outside still smaller 0.0
outside triangles bigger 0.0
outside trying back 0.0
outside vertices touched 0.0
over both triangles 0.0
over here both 0.0
playing arena confined 0.0
playing around triangles 0.0
playing big object 0.0
playing inside box 0.0
playing outside enjoying 0.0
playing sort game 0.0
pull small triangle 0.0
pull smaller triangle 0.0
push bigger triangle 0.0
push blue object 0.0
push outside arena 0.0
push outside box 0.0
push small triangle 0.0
pushed outside smaller 0.0
pushed smaller smaller 0.0
pushed smaller triangle 0.0
pushing smaller pushed 0.0
pushing smaller rectangle 0.0
reason exploring bigger 0.0
rectangle dances around 0.0
rectangle larger rectangle 0.0
rectangle little triangles 0.0
rectangle smaller rectangle 0.0
rectangle smaller triangle 0.0
rectangle sort opening 0.0
rectangle triangles enclosed 0.0
red color again 0.0
red making smaller 0.0
red object blue 0.0
red object both 0.0
red object tries 0.0
red smaller blue 0.0
red triangle pushing 0.0
red triangle stuck 0.0
refusing finally trying 0.0
refusing move big 0.0
region bigger triangle 0.0
reluctant even letting 0.0
reluctant moving very 0.0
remain box both 0.0
remain box red 0.0
respect separated bigger 0.0
right triangle inside 0.0
ring basically small 0.0
ring game playing 0.0
roam around outside 1.0
roaming around bigger 0.0
roaming around region 0.0
roaming outside bigger 0.0
roaming outside both 0.0
roaming small triangle 0.0
rotating funny ways 0.0
rotating outside rectangle 0.0
rotating red object 0.0
rotating respect separated 0.0
rotating smaller triangle 0.0
seem dancing chasing 0.0
seem playing sort 0.0
seem rotating funny 0.0
seems happy connected 0.0
seems pushed smaller 0.0
seems pushing smaller 0.0
seems red triangle 0.0
seems trying move 0.0
seems very reluctant 0.0
semi closed box 0.0
separated bigger triangle 0.0
side inner square 0.0
side rectangle sort 0.0
size blue object 0.0
slightly bigger both 0.0
slowly big triangle 0.0
small big playing 0.0
small object both 0.0
small object cannot 0.0
small object follows 0.0
small object tries 0.0
small object win 0.0
small slightly bigger 0.0
small triangle refusing 0.0
small triangle roaming 0.0
small triangle rotating 0.0
small triangle small 0.0
small triangle trying 0.0
smaller again inside 0.0
smaller blue red 0.0
smaller comes trying 0.0
smaller does agree 0.0
smaller dinside bigger triangle 0.0
inside attached vertex 0.0
inside again trying 0.0
inner square pushed 0.0
inner square outer 0.0
inner square cut 0.0
inner square coming 0.0
here triangles small 0.0
here inner square 0.0
here both playing 0.0
here bigger triangle 0.0
happy connected triangles 0.0
gone trying back 0.0
gone outside trying 0.0
gone outside inside 0.0
gone outside completely 0.0
going outside box 0.0
goes tries pull 0.0
goes outside again 0.0
gets success pushing 0.0
game playing big 0.0
game here bigger 0.0
funny ways seem 0.0
forcefully bigger triangle 0.0
force smaller easily 0.0
follows strategy does 0.0
follows comes box 0.0
focing triangles inside 0.0
finally trying best 0.0
fighting stay big 0.0
fighting remain box 0.0
fighting box big 0.0
fighting big object 0.0
exploring both started 0.0
exploring bigger rectangle 0.0
explore area outside 0.0
even letting bigger 0.0
enter big box 0.0
enjoying triangles over 0.0
enclosed side rectangle 0.0
easily smaller roaming 0.0
drag push blue 0.0
door both attached 0.0
door blue triangle 0.0
doing specific things 0.0
does work tries 0.0
does agree trying 0.0
dancing chasing seem 0.0
dances around here 0.0
cut bigger triangle 0.0
corner smaller doing 0.0
connected triangles squares 0.0
confined within space 0.0
completely smaller roaming 0.0
coming smaller triangle 0.0
coming again again 0.0
comes trying smaller 0.0
comes trying explore 0.0
comes box basically 0.0
comes back attaches 0.0
color seems red 0.0
color again inside 0.0
closed box bigger 0.0
circling around structure 0.0
chasing seem rotating 0.0
cannot enter big 0.0
came inside smaller 0.0
box waiting ahead 0.0
box tries push 0.0
box triangles touching 0.0
box tips touching 0.0
box tips force 0.0
box sort waiting 0.0
box sort ring 0.0
box smaller triangle 0.0
box small slightly 0.0
box roaming small 0.0
box red object 0.0
box pushing smaller 0.0
box playing around 0.0
box open box 0.0
box both want 0.0
box both triangles 0.0
box both fighting 0.0
box blue object 0.0
box bigger triangle 0.0
box big triangle 0.0
box big object 0.0
box basically both 0.0
both want remain 0.0
both trying push 0.0
both trying align 0.0
both triangles stay 0.0
both triangles outside 0.0
both triangle outside 0.0
both started playing 0.0
both playing inside 0.0
both outside box 0.0
both fighting stay 0.0
both fighting remain 0.0
both fighting box 0.0
both fighting big 0.0
both attached vertex 0.0
blue triangle outside 0.0
blue smaller object 0.0
blue red making 0.0
blue object using 0.0
blue object trying 0.0
blue object moving 0.0
blue object follows 0.0
blue color seems 0.0
blocks small object 0.0
bigger triangle trying 0.0
bigger triangle still 0.0
bigger triangle seems 0.0
bigger triangle pushing 0.0
bigger triangle outside 0.0
bigger triangle moves 0.0
bigger triangle move 0.0
bigger triangle inner 0.0
bigger triangle gone 0.0
bigger triangle goes 0.0
bigger triangle focing 0.0
bigger triangle came 0.0
bigger triangle also 0.0
bigger red smaller 0.0
bigger red color 0.0
bigger rectangle smaller 0.0
bigger rectangle larger 0.0
bigger gone outside 0.0
bigger goes outside 0.0
bigger comes trying 0.0
bigger both trying 0.0
big triangle trying 0.0
big triangle interacting 0.0
big triangle going 0.0
big playing arena 0.0
big object trying 0.0
big object small 0.0
big object moves 0.0
big object blocks 0.0
big box sort 0.0
best smaller does 0.0
basically small object 0.0
basically both fighting 0.0
back pushing smaller 0.0
back comes back 0.0
back attaches another 0.0
attaches another vertex 0.0
attached vertex rotating 0.0
attached vertex red 0.0
around very slowly 0.0
around triangles both 0.0
around structure bigger 0.0
around region bigger 0.0
around outside acquainted 0.0
around here triangles 0.0
around bigger triangle 0.0
around big triangle 0.0
arena smaller comes 0.0
arena confined within 0.0
arena after exploring 0.0
area outside arena 0.0
another vertex again 0.0
also outside vertices 0.0
align themselves vertices 0.0
ahead very reluctant 0.0
agree trying push 0.0
again trying corner 0.0
again interacting circling 0.0
again inside small 0.0
again inside gone 0.0
again gone trying 0.0
again gets success 0.0
again bigger triangle 0.0
again again bigger 0.0
after exploring both 0.0
acquainted surroundings over 0.0
