acquainted surroundings 1 0.00182149362477
after exploring 1 0.00182149362477
again again 1 0.00182149362477
again bigger 1 0.00182149362477
again gets 1 0.00182149362477
again gone 1 0.00182149362477
again interacting 1 0.00182149362477
again trying 1 0.00182149362477
agree trying 1 0.00182149362477
ahead very 1 0.00182149362477
align themselves 1 0.00182149362477
also outside 1 0.00182149362477
another vertex 1 0.00182149362477
area outside 1 0.00182149362477
arena after 1 0.00182149362477
arena confined 1 0.00182149362477
arena smaller 1 0.00182149362477
around big 1 0.00182149362477
around bigger 1 0.00182149362477
around here 1 0.00182149362477
around outside 1 0.00182149362477
around region 1 0.00182149362477
around structure 1 0.00182149362477
around triangles 1 0.00182149362477
around very 1 0.00182149362477
attaches another 1 0.00182149362477
back attaches 1 0.00182149362477
back comes 1 0.00182149362477
back pushing 1 0.00182149362477
basically both 1 0.00182149362477
basically small 1 0.00182149362477
best smaller 1 0.00182149362477
big playing 1 0.00182149362477
bigger both 1 0.00182149362477
bigger comes 1 0.00182149362477
bigger goes 1 0.00182149362477
bigger gone 1 0.00182149362477
blocks small 1 0.00182149362477
blue color 1 0.00182149362477
blue red 1 0.00182149362477
blue smaller 1 0.00182149362477
blue triangle 1 0.00182149362477
both attached 1 0.00182149362477
both outside 1 0.00182149362477
both playing 1 0.00182149362477
both started 1 0.00182149362477
both triangle 1 0.00182149362477
both want 1 0.00182149362477
box basically 1 0.00182149362477
box blue 1 0.00182149362477
box open 1 0.00182149362477
box playing 1 0.00182149362477
box pushing 1 0.00182149362477
box red 1 0.00182149362477
box ring 1 0.00182149362477
box roaming 1 0.00182149362477
box small 1 0.00182149362477
box triangles 1 0.00182149362477
box tries 1 0.00182149362477
box waiting 1 0.00182149362477
came inside 1 0.00182149362477
cannot enter 1 0.00182149362477
chasing seem 1 0.00182149362477
circling around 1 0.00182149362477
closed box 1 0.00182149362477
color again 1 0.00182149362477
color seems 1 0.00182149362477
comes back 1 0.00182149362477
comes box 1 0.00182149362477
coming again 1 0.00182149362477
coming smaller 1 0.00182149362477
completely smaller 1 0.00182149362477
confined within 1 0.00182149362477
connected triangles 1 0.00182149362477
corner smaller 1 0.00182149362477
cut bigger 1 0.00182149362477
dances around 1 0.00182149362477
dancing chasing 1 0.00182149362477
does agree 1 0.00182149362477
does work 1 0.00182149362477
doing specific 1 0.00182149362477
door blue 1 0.00182149362477
door both 1 0.00182149362477
drag push 1 0.00182149362477
easily smaller 1 0.00182149362477
enclosed side 1 0.00182149362477
enjoying triangles 1 0.00182149362477
enter big 1 0.00182149362477
even letting 1 0.00182149362477
explore area 1 0.00182149362477
exploring bigger 1 0.00182149362477
exploring both 1 0.00182149362477
fighting big 1 0.00182149362477
fighting box 1 0.00182149362477
fighting remain 1 0.00182149362477
fighting stay 1 0.00182149362477
finally trying 1 0.00182149362477
focing triangles 1 0.00182149362477
follows comes 1 0.00182149362477
follows strategy 1 0.00182149362477
force smaller 1 0.00182149362477
forcefully bigger 1 0.00182149362477
funny ways 1 0.00182149362477
game here 1 0.00182149362477
game playing 1 0.00182149362477
gets success 1 0.00182149362477
