acquainted surroundings over both 1 0.0018281535649
after exploring both started 1 0.0018281535649
again again bigger triangle 1 0.0018281535649
again bigger triangle trying 1 0.0018281535649
again gets success pushing 1 0.0018281535649
again gone trying back 1 0.0018281535649
again inside gone outside 1 0.0018281535649
again inside small triangle 1 0.0018281535649
again interacting circling around 1 0.0018281535649
again trying corner smaller 1 0.0018281535649
agree trying push outside 1 0.0018281535649
ahead very reluctant moving 1 0.0018281535649
align themselves vertices semi 1 0.0018281535649
also outside vertices touched 1 0.0018281535649
another vertex again gone 1 0.0018281535649
area outside arena after 1 0.0018281535649
arena after exploring both 1 0.0018281535649
arena confined within space 1 0.0018281535649
arena smaller comes trying 1 0.0018281535649
around big triangle going 1 0.0018281535649
around bigger triangle goes 1 0.0018281535649
around here triangles small 1 0.0018281535649
around outside acquainted surroundings 1 0.0018281535649
around region bigger triangle 1 0.0018281535649
around structure bigger rectangle 1 0.0018281535649
around triangles both trying 1 0.0018281535649
around very slowly big 1 0.0018281535649
attached vertex red triangle 1 0.0018281535649
attached vertex rotating red 1 0.0018281535649
attaches another vertex again 1 0.0018281535649
back attaches another vertex 1 0.0018281535649
back comes back attaches 1 0.0018281535649
back pushing smaller pushed 1 0.0018281535649
basically both fighting big 1 0.0018281535649
basically small object tries 1 0.0018281535649
best smaller does agree 1 0.0018281535649
big box ring basically 1 0.0018281535649
big box sort ring 1 0.0018281535649
big object blocks small 1 0.0018281535649
big object moves small 1 0.0018281535649
big object small object 1 0.0018281535649
big object trying move 1 0.0018281535649
big playing arena confined 1 0.0018281535649
big triangle going outside 1 0.0018281535649
big triangle interacting small 1 0.0018281535649
big triangle trying pull 1 0.0018281535649
big triangle trying push 1 0.0018281535649
bigger both trying push 1 0.0018281535649
bigger comes trying smaller 1 0.0018281535649
bigger goes outside again 1 0.0018281535649
bigger gone outside inside 1 0.0018281535649
bigger rectangle larger rectangle 1 0.0018281535649
bigger rectangle smaller rectangle 1 0.0018281535649
bigger red color again 1 0.0018281535649
bigger red smaller blue 1 0.0018281535649
bigger triangle also outside 1 0.0018281535649
bigger triangle came inside 1 0.0018281535649
bigger triangle focing triangles 1 0.0018281535649
bigger triangle goes tries 1 0.0018281535649
bigger triangle gone outside 1 0.0018281535649
bigger triangle inner square 1 0.0018281535649
bigger triangle move box 1 0.0018281535649
bigger triangle moves box 1 0.0018281535649
bigger triangle outside box 1 0.0018281535649
bigger triangle pushing smaller 1 0.0018281535649
bigger triangle seems happy 1 0.0018281535649
bigger triangle seems pushed 1 0.0018281535649
bigger triangle seems pushing 1 0.0018281535649
bigger triangle still inside 1 0.0018281535649
blocks small object cannot 1 0.0018281535649
blue color seems red 1 0.0018281535649
blue object follows strategy 1 0.0018281535649
blue object moving outside 1 0.0018281535649
blue object trying taunt 1 0.0018281535649
blue object using virtue 1 0.0018281535649
blue red making smaller 1 0.0018281535649
blue smaller object both 1 0.0018281535649
blue triangle outside red 1 0.0018281535649
both attached vertex rotating 1 0.0018281535649
both fighting big object 1 0.0018281535649
both fighting box big 1 0.0018281535649
both fighting remain box 1 0.0018281535649
both fighting stay big 1 0.0018281535649
both outside box both 1 0.0018281535649
both playing inside box 1 0.0018281535649
both started playing outside 1 0.0018281535649
both triangle outside box 1 0.0018281535649
both triangles outside box 1 0.0018281535649
both triangles stay outside 1 0.0018281535649
both trying align themselves 1 0.0018281535649
both trying push bigger 1 0.0018281535649
both want remain box 1 0.0018281535649
box basically both fighting 1 0.0018281535649
box big object small 1 0.0018281535649
box big triangle trying 1 0.0018281535649
box bigger triangle focing 1 0.0018281535649
box bigger triangle gone 1 0.0018281535649
box bigger triangle seems 1 0.0018281535649
box bigger triangle still 1 0.0018281535649
box bigger triangle trying 1 0.0018281535649
box blue object follows 1 0.0018281535649
box both fighting box 1 0.0018281535649
box both triangles outside 1 0.0018281535649
box both want remain 1 0.0018281535649
box open box tips 1 0.0018281535649
box playing around triangles 1 0.0018281535649
box pushing smaller triangle 1 0.0018281535649
box red object tries 1 0.0018281535649
box ring basically small 1 0.0018281535649
box roaming small triangle 1 0.0018281535649
box small slightly bigger 1 0.0018281535649
box smaller triangle outside 1 0.0018281535649
box smaller triangle still 1 0.0018281535649
box sort ring game 1 0.0018281535649
box sort waiting smaller 1 0.0018281535649
box tips force smaller 1 0.0018281535649
box tips touching triangles 1 0.0018281535649
box triangles touching rotating 1 0.0018281535649
box tries push smaller 1 0.0018281535649
box waiting ahead very 1 0.0018281535649
came inside smaller triangle 1 0.0018281535649
cannot enter big box 1 0.0018281535649
chasing seem rotating funny 1 0.0018281535649
circling around structure bigger 1 0.0018281535649
closed box bigger triangle 1 0.0018281535649
color again inside small 1 0.0018281535649
color seems red triangle 1 0.0018281535649
comes back attaches another 1 0.0018281535649
comes box basically both 1 0.0018281535649
comes trying explore area 1 0.0018281535649
comes trying smaller smaller 1 0.0018281535649
coming again again bigger 1 0.0018281535649
coming smaller triangle seems 1 0.0018281535649
completely smaller roaming outside 1 0.0018281535649
confined within space bigger 1 0.0018281535649
connected triangles squares here 1 0.0018281535649
corner smaller doing specific 1 0.0018281535649
cut bigger triangle inner 1 0.0018281535649
dances around here triangles 1 0.0018281535649
dancing chasing seem rotating 1 0.0018281535649
does agree trying push 1 0.0018281535649
does work tries move 1 0.0018281535649
doing specific things outside 1 0.0018281535649
door blue triangle outside 1 0.0018281535649
door both attached vertex 1 0.0018281535649
drag push blue object 1 0.0018281535649
easily smaller roaming outside 1 0.0018281535649
enclosed side rectangle sort 1 0.0018281535649
enjoying triangles over here 1 0.0018281535649
enter big box ring 1 0.0018281535649
even letting bigger triangle 1 0.0018281535649
explore area outside arena 1 0.0018281535649
exploring bigger rectangle larger 1 0.0018281535649
exploring both started playing 1 0.0018281535649
fighting big object trying 1 0.0018281535649
fighting box big object 1 0.0018281535649
fighting remain box both 1 0.0018281535649
fighting stay big box 1 0.0018281535649
finally trying best smaller 1 0.0018281535649
focing triangles inside box 1 0.0018281535649
follows comes box basically 1 0.0018281535649
follows strategy does work 1 0.0018281535649
force smaller easily smaller 1 0.0018281535649
forcefully bigger triangle seems 1 0.0018281535649
funny ways seem playing 1 0.0018281535649
game here bigger triangle 1 0.0018281535649
game playing big object 1 0.0018281535649
gets success pushing smaller 1 0.0018281535649
goes outside again interacting 1 0.0018281535649
goes tries pull smaller 1 0.0018281535649
going outside box big 1 0.0018281535649
gone outside completely smaller 1 0.0018281535649
gone outside inside again 1 0.0018281535649
gone outside trying back 1 0.0018281535649
gone trying back pushing 1 0.0018281535649
happy connected triangles squares 1 0.0018281535649
here bigger triangle pushing 1 0.0018281535649
here both playing inside 1 0.0018281535649
here inner square outer 1 0.0018281535649
here triangles small big 1 0.0018281535649
inner square coming again 1 0.0018281535649
inner square cut bigger 1 0.0018281535649
inner square outer square 1 0.0018281535649
inner square pushed outside 1 0.0018281535649
inside again trying corner 1 0.0018281535649
inside attached vertex red 1 0.0018281535649
inside bigger triangle came 1 0.0018281535649
